model,cv_mean,cv_std,train_score,gap,gap_percentage,score
LR_ElasticNet,0.80023225158496,0.013449257565834254,0.7991021324354658,-0.0011301191494942353,-0.14122389434515953,0.8024924898839485
RF_UltraConservative_D2,0.7979787835038603,0.017771352593067363,0.7968574635241302,-0.0011213199797300843,-0.14052002420496182,0.8002214234633205
GB_MinDepth,0.7991023790094784,0.01789868801138812,0.7991021324354658,-2.4657401265226753e-07,-3.085637324192509e-05,0.7991028721575038
LR_StrongReg_C005,0.7845019145063085,0.018084818913553975,0.7867564534231201,0.0022545389168115992,0.28738475650889816,0.7799928366726853
RF_UltraConservative_D3,0.8092084614901763,0.019725346230804165,0.8159371492704826,0.0067286877803062195,0.8315147580037884,0.7957510859295639
GB_StrongReg_V1,0.815956311593748,0.016194049513102573,0.8249158249158249,0.008959513322076895,1.098038362443319,0.7980372849495942
RF_Current,0.8294017952419811,0.010467107635895426,0.8383838383838383,0.008982043141857243,1.0829543887395008,0.8114377089582666
RF_MinComplexity,0.8080785889146946,0.013031974088696328,0.8181818181818182,0.010103229267123592,1.2502780553427268,0.7878721303804475
LR_StrongReg_C01,0.8024857196660597,0.012723752224203045,0.8148148148148148,0.01232909514875502,1.536363183370485,0.7778275293685497
GB_StrongReg_V2,0.8159374803841567,0.022296145087399997,0.8338945005611672,0.017957020177010508,2.2007838356139797,0.7800234400301357
LGB_Current,0.822666499278137,0.00585554738797122,0.8406285072951739,0.017962008017036957,2.1833887769585894,0.786742483244063
LGB_StrongReg_V1,0.8193019898311468,0.009697181107713766,0.8383838383838383,0.01908184855269157,2.3290372523840968,0.7811382927257636
LGB_MinLeaves,0.7979725064339966,0.013394287548229128,0.8170594837261503,0.019086977292153695,2.391934200521538,0.7597985518496893
LGB_StrongReg_V2_Dropout,0.8114430983616849,0.0283636568205571,0.8316498316498316,0.020206733288146705,2.4902218441372397,0.7710296317853915
GB_Current,0.8282656455966355,0.012316826755130177,0.8653198653198653,0.03705421972322975,4.473712017421415,0.754157206150176
