Feature_Set,Model,CV_Mean,CV_Std,Num_Features
Baseline (9 features),LogisticRegression,0.8036030381018142,0.015325316632967918,11
Baseline (9 features),RandomForest,0.8338961772644529,0.007574230974471749,11
Baseline (9 features),GradientBoosting,0.8293955181721172,0.012224654396388117,11
Baseline (9 features),LightGBM,0.8361308141359614,0.01965409013785358,11
Baseline + All Ticket,LogisticRegression,0.7912874270290629,0.022402325031490217,17
Baseline + All Ticket,RandomForest,0.8361308141359614,0.008406339517628536,17
Baseline + All Ticket,GradientBoosting,0.838390559286925,0.008110241472337935,17
Baseline + All Ticket,LightGBM,0.8384031134266523,0.017348808203768443,17
Baseline + Top3 Ticket,LogisticRegression,0.799114933149206,0.015467706378928156,14
Baseline + Top3 Ticket,RandomForest,0.8316427091833531,0.008080917484198686,14
Baseline + Top3 Ticket,GradientBoosting,0.8305128366078716,0.007747043563816261,14
Baseline + Top3 Ticket,LightGBM,0.8361245370660976,0.014965745685846953,14
